Date,Value
10/28/2021 13:44,11.7
10/28/2021 14:29,11.2
10/28/2021 15:29,10.8
10/28/2021 16:29,10.8
10/28/2021 17:29,10.5
10/28/2021 18:29,10.3
10/28/2021 19:29,10.3
10/28/2021 20:29,10.2
10/28/2021 21:29,9.5
10/28/2021 22:29,9.6
10/28/2021 23:29,9.5
10/29/2021 0:29,9.9
10/29/2021 1:29,9.8
10/29/2021 2:29,6.7
10/29/2021 3:29,5.6
10/29/2021 4:29,5.8
10/29/2021 5:29,5.9
10/29/2021 6:29,13.4
10/29/2021 7:29,18.9
10/29/2021 8:29,21.8
10/29/2021 9:29,25.5
10/29/2021 10:29,27
10/29/2021 11:29,26.7
10/29/2021 12:29,22.8
10/29/2021 13:29,17
10/29/2021 14:29,13.9
10/29/2021 15:29,10.1
10/29/2021 16:29,9.3
10/29/2021 17:29,8.5
10/29/2021 18:29,7.8
10/29/2021 19:29,7.1
10/29/2021 20:29,6.9
10/29/2021 21:29,6.6
10/29/2021 22:29,6.5
10/29/2021 23:29,5.4
10/30/2021 0:29,5.7
10/30/2021 1:29,5.7
10/30/2021 2:29,5.4
10/30/2021 3:29,5.1
10/30/2021 4:29,4.7
10/30/2021 5:29,4.2
10/30/2021 6:29,10.5
10/30/2021 7:29,18.7
10/30/2021 8:29,23.1
10/30/2021 9:29,22.8
10/30/2021 10:29,26.5
10/30/2021 11:29,22.7
10/30/2021 12:29,24.5
10/30/2021 13:29,23.3
10/30/2021 14:29,12.3
10/30/2021 15:29,8.9
10/30/2021 16:29,7.3
10/30/2021 17:29,7.7
10/30/2021 18:29,6.7
10/30/2021 19:29,6.9
10/30/2021 20:29,7.6
10/30/2021 21:29,7.3
10/30/2021 22:29,7.4
10/30/2021 23:29,7.1
10/31/2021 0:29,7
10/31/2021 1:29,6.7
10/31/2021 2:29,5.5
10/31/2021 3:29,5.8
10/31/2021 4:29,5.3
10/31/2021 5:29,5
10/31/2021 6:29,12
10/31/2021 7:29,16.6
10/31/2021 8:29,20.7
10/31/2021 9:29,23
10/31/2021 10:29,23.4
10/31/2021 12:29,22.7
10/31/2021 13:29,21.8
10/31/2021 14:29,11.2
10/31/2021 15:29,8.6
10/31/2021 16:29,7.5
10/31/2021 17:29,7.2
10/31/2021 18:29,7.2
